E_COMMODITY_LDESC,QTY_1_MO,UNIT_QY1,YEAR,MONTH,E_COMMODITY
"WHEY, WHETHER OR NOT CONCENTRATED OR SWEETENED, DRIED",13779904,KG,2019,08,0404104000
"WHEY, WHETHER OR NOT CONCENTRATED OR SWEETENED, DRIED",12368518,KG,2019,09,0404104000
"WHEY, WHETHER OR NOT CONCENTRATED OR SWEETENED, DRIED",9824339,KG,2019,10,0404104000
"WHEY, WHETHER OR NOT CONCENTRATED OR SWEETENED, DRIED",12507043,KG,2019,11,0404104000
"WHEY, WHETHER OR NOT CONCENTRATED OR SWEETENED, DRIED",12602643,KG,2019,12,0404104000
"WHEY, WHETHER OR NOT CONCENTRATED OR SWEETENED, DRIED",13603710,KG,2020,01,0404104000
"WHEY, WHETHER OR NOT CONCENTRATED OR SWEETENED, DRIED",15193332,KG,2020,02,0404104000
"WHEY, WHETHER OR NOT CONCENTRATED OR SWEETENED, DRIED",17407697,KG,2020,03,0404104000
"WHEY, WHETHER OR NOT CONCENTRATED OR SWEETENED, DRIED",16950571,KG,2020,04,0404104000
"WHEY, WHETHER OR NOT CONCENTRATED OR SWEETENED, DRIED",16365585,KG,2020,05,0404104000
"WHEY, WHETHER OR NOT CONCENTRATED OR SWEETENED, DRIED",18144198,KG,2020,06,0404104000
"WHEY, WHETHER OR NOT CONCENTRATED OR SWEETENED, DRIED",18547966,KG,2020,07,0404104000
"WHEY, WHETHER OR NOT CONCENTRATED OR SWEETENED, DRIED",21274334,KG,2020,08,0404104000
"WHEY, WHETHER OR NOT CONCENTRATED OR SWEETENED, DRIED",18846777,KG,2020,09,0404104000
"WHEY, WHETHER OR NOT CONCENTRATED OR SWEETENED, DRIED",24209162,KG,2020,10,0404104000
"WHEY, WHETHER OR NOT CONCENTRATED OR SWEETENED, DRIED",16699290,KG,2020,11,0404104000
"WHEY, WHETHER OR NOT CONCENTRATED OR SWEETENED, DRIED",17325280,KG,2020,12,0404104000
"WHEY, WHETHER OR NOT CONCENTRATED OR SWEETENED, DRIED",18332052,KG,2021,01,0404104000
"WHEY, WHETHER OR NOT CONCENTRATED OR SWEETENED, DRIED",18535205,KG,2021,02,0404104000
"WHEY, WHETHER OR NOT CONCENTRATED OR SWEETENED, DRIED",23933015,KG,2021,03,0404104000
"WHEY, WHETHER OR NOT CONCENTRATED OR SWEETENED, DRIED",21016605,KG,2021,04,0404104000
"WHEY, WHETHER OR NOT CONCENTRATED OR SWEETENED, DRIED",21280570,KG,2021,05,0404104000
"WHEY, WHETHER OR NOT CONCENTRATED OR SWEETENED, DRIED",17763820,KG,2021,06,0404104000
"WHEY, WHETHER OR NOT CONCENTRATED OR SWEETENED, DRIED",16963540,KG,2021,07,0404104000
"WHEY, WHETHER OR NOT CONCENTRATED OR SWEETENED, DRIED",17698047,KG,2021,08,0404104000
"WHEY, WHETHER OR NOT CONCENTRATED OR SWEETENED, DRIED",18794027,KG,2021,09,0404104000
"WHEY, WHETHER OR NOT CONCENTRATED OR SWEETENED, DRIED",18943175,KG,2021,10,0404104000
"WHEY, WHETHER OR NOT CONCENTRATED OR SWEETENED, DRIED",18113493,KG,2021,11,0404104000
"WHEY, WHETHER OR NOT CONCENTRATED OR SWEETENED, DRIED",14446579,KG,2021,12,0404104000
"WHEY, WHETHER OR NOT CONCENTRATED OR SWEETENED, DRIED",12135143,KG,2022,01,0404104000
"WHEY, WHETHER OR NOT CONCENTRATED OR SWEETENED, DRIED",14762450,KG,2022,02,0404104000
"WHEY, WHETHER OR NOT CONCENTRATED OR SWEETENED, DRIED",19682059,KG,2022,03,0404104000
