E_COMMODITY_LDESC,QTY_1_MO,UNIT_QY1,YEAR,MONTH,E_COMMODITY,STATE,ALL_VAL_MO,E_COMMODITY.1
FLOURS AND MEALS OF SOYBEANS,,,2017,10,120810,DE,0.0,120810.0
FLOURS AND MEALS OF SOYBEANS,,,2017,10,120810,GA,188512.0,120810.0
FLOURS AND MEALS OF SOYBEANS,,,2017,10,120810,IA,215567.0,120810.0
FLOURS AND MEALS OF SOYBEANS,,,2017,10,120810,IL,8818475.0,120810.0
FLOURS AND MEALS OF SOYBEANS,,,2017,10,120810,IN,396000.0,120810.0
FLOURS AND MEALS OF SOYBEANS,,,2017,10,120810,KS,1723346.0,120810.0
FLOURS AND MEALS OF SOYBEANS,,,2017,10,120810,KY,9904.0,120810.0
FLOURS AND MEALS OF SOYBEANS,,,2017,10,120810,LA,5647340.0,120810.0
FLOURS AND MEALS OF SOYBEANS,,,2017,10,120810,MD,0.0,120810.0
FLOURS AND MEALS OF SOYBEANS,,,2017,10,120810,MI,28200.0,120810.0
FLOURS AND MEALS OF SOYBEANS,,,2017,10,120810,MN,1844177.0,120810.0
FLOURS AND MEALS OF SOYBEANS,,,2017,10,120810,MO,883851.0,120810.0
FLOURS AND MEALS OF SOYBEANS,,,2017,10,120810,NE,560286.0,120810.0
FLOURS AND MEALS OF SOYBEANS,,,2017,10,120810,NJ,5060.0,120810.0
FLOURS AND MEALS OF SOYBEANS,,,2017,10,120810,NV,116923.0,120810.0
FLOURS AND MEALS OF SOYBEANS,,,2017,10,120810,NY,0.0,120810.0
FLOURS AND MEALS OF SOYBEANS,,,2017,10,120810,OH,931710.0,120810.0
FLOURS AND MEALS OF SOYBEANS,,,2017,10,120810,OR,0.0,120810.0
FLOURS AND MEALS OF SOYBEANS,,,2017,10,120810,PA,0.0,120810.0
FLOURS AND MEALS OF SOYBEANS,,,2017,10,120810,SC,0.0,120810.0
FLOURS AND MEALS OF SOYBEANS,,,2017,10,120810,VT,0.0,120810.0
FLOURS AND MEALS OF SOYBEANS,,,2017,10,120810,SD,130727.0,120810.0
FLOURS AND MEALS OF SOYBEANS,,,2017,10,120810,TX,0.0,120810.0
FLOURS AND MEALS OF SOYBEANS,,,2017,10,120810,VA,526045.0,120810.0
FLOURS AND MEALS OF SOYBEANS,,,2017,10,120810,WA,17986209.0,120810.0
FLOURS AND MEALS OF SOYBEANS,,,2017,10,120810,WI,2694039.0,120810.0
FLOURS AND MEALS OF SOYBEANS,,,2017,10,120810,XX,7365.0,120810.0
FLOURS AND MEALS OF SOYBEANS,,,2013,5,120810,GA,572212.0,120810.0
FLOURS AND MEALS OF SOYBEANS,,,2013,5,120810,-,67140798.0,120810.0
FLOURS AND MEALS OF SOYBEANS,,,2013,5,120810,AL,0.0,120810.0
FLOURS AND MEALS OF SOYBEANS,,,2013,5,120810,AR,145045.0,120810.0
FLOURS AND MEALS OF SOYBEANS,,,2013,5,120810,CA,335711.0,120810.0
FLOURS AND MEALS OF SOYBEANS,,,2013,5,120810,FL,62488.0,120810.0
FLOURS AND MEALS OF SOYBEANS,,,2013,5,120810,IA,8499369.0,120810.0
FLOURS AND MEALS OF SOYBEANS,,,2013,5,120810,IL,8208285.0,120810.0
FLOURS AND MEALS OF SOYBEANS,,,2013,5,120810,IN,486000.0,120810.0
FLOURS AND MEALS OF SOYBEANS,,,2013,5,120810,KS,2990525.0,120810.0
FLOURS AND MEALS OF SOYBEANS,,,2013,5,120810,KY,3175329.0,120810.0
FLOURS AND MEALS OF SOYBEANS,,,2013,5,120810,LA,0.0,120810.0
FLOURS AND MEALS OF SOYBEANS,,,2013,5,120810,MD,0.0,120810.0
FLOURS AND MEALS OF SOYBEANS,,,2013,5,120810,MI,11109.0,120810.0
FLOURS AND MEALS OF SOYBEANS,,,2013,5,120810,MN,753513.0,120810.0
FLOURS AND MEALS OF SOYBEANS,,,2013,5,120810,MO,13687079.0,120810.0
FLOURS AND MEALS OF SOYBEANS,,,2013,5,120810,NC,0.0,120810.0
FLOURS AND MEALS OF SOYBEANS,,,2013,5,120810,NE,516248.0,120810.0
FLOURS AND MEALS OF SOYBEANS,,,2013,5,120810,NJ,0.0,120810.0
FLOURS AND MEALS OF SOYBEANS,,,2013,5,120810,NV,32957.0,120810.0
FLOURS AND MEALS OF SOYBEANS,,,2013,5,120810,NY,174530.0,120810.0
FLOURS AND MEALS OF SOYBEANS,,,2013,5,120810,OH,169506.0,120810.0
FLOURS AND MEALS OF SOYBEANS,,,2013,5,120810,OK,0.0,120810.0
FLOURS AND MEALS OF SOYBEANS,,,2013,5,120810,OR,39840.0,120810.0
FLOURS AND MEALS OF SOYBEANS,,,2013,5,120810,SC,0.0,120810.0
FLOURS AND MEALS OF SOYBEANS,,,2013,5,120810,SD,1005336.0,120810.0
FLOURS AND MEALS OF SOYBEANS,,,2013,5,120810,TN,63459.0,120810.0
FLOURS AND MEALS OF SOYBEANS,,,2013,5,120810,TX,38195.0,120810.0
FLOURS AND MEALS OF SOYBEANS,,,2013,5,120810,VA,0.0,120810.0
FLOURS AND MEALS OF SOYBEANS,,,2013,5,120810,VT,0.0,120810.0
FLOURS AND MEALS OF SOYBEANS,,,2013,5,120810,WA,26158851.0,120810.0
FLOURS AND MEALS OF SOYBEANS,,,2013,5,120810,WI,15211.0,120810.0
FLOURS AND MEALS OF SOYBEANS,,,2013,5,120810,XX,0.0,120810.0
FLOURS AND MEALS OF SOYBEANS,,,2018,5,120810,IA,500317.0,120810.0
FLOURS AND MEALS OF SOYBEANS,,,2018,5,120810,-,110625541.0,120810.0
FLOURS AND MEALS OF SOYBEANS,,,2018,5,120810,AL,0.0,120810.0
FLOURS AND MEALS OF SOYBEANS,,,2018,5,120810,CA,203605.0,120810.0
FLOURS AND MEALS OF SOYBEANS,,,2018,5,120810,FL,0.0,120810.0
FLOURS AND MEALS OF SOYBEANS,,,2018,5,120810,GA,98668.0,120810.0
FLOURS AND MEALS OF SOYBEANS,,,2018,5,120810,IL,17454026.0,120810.0
FLOURS AND MEALS OF SOYBEANS,,,2018,5,120810,IN,300000.0,120810.0
FLOURS AND MEALS OF SOYBEANS,,,2018,5,120810,KS,1457516.0,120810.0
FLOURS AND MEALS OF SOYBEANS,,,2018,5,120810,KY,2458850.0,120810.0
FLOURS AND MEALS OF SOYBEANS,,,2018,5,120810,LA,10717485.0,120810.0
FLOURS AND MEALS OF SOYBEANS,,,2018,5,120810,MI,0.0,120810.0
FLOURS AND MEALS OF SOYBEANS,,,2018,5,120810,MN,4843203.0,120810.0
FLOURS AND MEALS OF SOYBEANS,,,2018,5,120810,MO,1449858.0,120810.0
FLOURS AND MEALS OF SOYBEANS,,,2018,5,120810,ND,0.0,120810.0
FLOURS AND MEALS OF SOYBEANS,,,2018,5,120810,NY,38979.0,120810.0
FLOURS AND MEALS OF SOYBEANS,,,2018,5,120810,NE,0.0,120810.0
FLOURS AND MEALS OF SOYBEANS,,,2018,5,120810,NJ,0.0,120810.0
FLOURS AND MEALS OF SOYBEANS,,,2018,5,120810,NV,97734.0,120810.0
FLOURS AND MEALS OF SOYBEANS,,,2018,5,120810,OH,346710.0,120810.0
FLOURS AND MEALS OF SOYBEANS,,,2018,5,120810,SC,0.0,120810.0
