E_COMMODITY_LDESC,QTY_1_MO,UNIT_QY1,YEAR,MONTH,E_COMMODITY,STATE,ALL_VAL_MO,E_COMMODITY.1
SOYBEAN SEEDS OF A KIND USED FOR SOWING,3827144.0,KG,2020,2,1201100000,,,
SOYBEAN SEEDS OF A KIND USED FOR SOWING,6450304.0,KG,2020,3,1201100000,,,
SOYBEAN SEEDS OF A KIND USED FOR SOWING,6685405.0,KG,2020,4,1201100000,,,
SOYBEAN SEEDS OF A KIND USED FOR SOWING,4581020.0,KG,2020,5,1201100000,,,
SOYBEAN SEEDS OF A KIND USED FOR SOWING,2626203.0,KG,2020,6,1201100000,,,
SOYBEAN SEEDS OF A KIND USED FOR SOWING,1586991.0,KG,2020,7,1201100000,,,
SOYBEAN SEEDS OF A KIND USED FOR SOWING,3335845.0,KG,2020,8,1201100000,,,
SOYBEAN SEEDS OF A KIND USED FOR SOWING,942063.0,KG,2020,9,1201100000,,,
SOYBEAN SEEDS OF A KIND USED FOR SOWING,2624112.0,KG,2020,10,1201100000,,,
SOYBEAN SEEDS OF A KIND USED FOR SOWING,37035711.0,KG,2020,11,1201100000,,,
SOYBEAN SEEDS OF A KIND USED FOR SOWING,10219172.0,KG,2020,12,1201100000,,,
SOYBEAN SEEDS OF A KIND USED FOR SOWING,2596381.0,KG,2021,1,1201100000,,,
SOYBEAN SEEDS OF A KIND USED FOR SOWING,4419915.0,KG,2021,2,1201100000,,,
SOYBEAN SEEDS OF A KIND USED FOR SOWING,6443425.0,KG,2021,3,1201100000,,,
SOYBEAN SEEDS OF A KIND USED FOR SOWING,6943566.0,KG,2021,4,1201100000,,,
SOYBEAN SEEDS OF A KIND USED FOR SOWING,8686392.0,KG,2021,5,1201100000,,,
SOYBEAN SEEDS OF A KIND USED FOR SOWING,7658129.0,KG,2021,6,1201100000,,,
SOYBEAN SEEDS OF A KIND USED FOR SOWING,7325067.0,KG,2021,7,1201100000,,,
SOYBEAN SEEDS OF A KIND USED FOR SOWING,4561184.0,KG,2021,8,1201100000,,,
SOYBEAN SEEDS OF A KIND USED FOR SOWING,3894698.0,KG,2021,9,1201100000,,,
SOYBEAN SEEDS OF A KIND USED FOR SOWING,9785058.0,KG,2021,10,1201100000,,,
SOYBEAN SEEDS OF A KIND USED FOR SOWING,19452898.0,KG,2021,11,1201100000,,,
SOYBEAN SEEDS OF A KIND USED FOR SOWING,21153403.0,KG,2021,12,1201100000,,,
SOYBEAN SEEDS OF A KIND USED FOR SOWING,14565469.0,KG,2022,1,1201100000,,,
SOYBEAN SEEDS OF A KIND USED FOR SOWING,20590620.0,KG,2022,2,1201100000,,,
SOYBEAN SEEDS OF A KIND USED FOR SOWING,20883051.0,KG,2022,3,1201100000,,,
SOYBEAN SEED,,,2014,10,120110,-,1559928.0,120110.0
SOYBEAN SEED,,,2014,10,120110,AR,58204.0,120110.0
SOYBEAN SEED,,,2014,10,120110,CA,4422.0,120110.0
SOYBEAN SEED,,,2014,10,120110,FL,0.0,120110.0
SOYBEAN SEED,,,2014,10,120110,IA,144000.0,120110.0
SOYBEAN SEED,,,2014,10,120110,IL,55979.0,120110.0
SOYBEAN SEED,,,2014,10,120110,IN,0.0,120110.0
SOYBEAN SEED,,,2014,10,120110,ME,0.0,120110.0
SOYBEAN SEED,,,2014,10,120110,MI,0.0,120110.0
SOYBEAN SEED,,,2014,10,120110,MN,272000.0,120110.0
SOYBEAN SEED,,,2014,10,120110,MO,383233.0,120110.0
SOYBEAN SEED,,,2014,10,120110,NC,425128.0,120110.0
SOYBEAN SEED,,,2014,10,120110,ND,153853.0,120110.0
SOYBEAN SEED,,,2014,10,120110,NE,0.0,120110.0
SOYBEAN SEED,,,2014,10,120110,NY,0.0,120110.0
SOYBEAN SEED,,,2014,10,120110,OH,0.0,120110.0
SOYBEAN SEED,,,2014,10,120110,PA,0.0,120110.0
SOYBEAN SEED,,,2014,10,120110,SD,0.0,120110.0
SOYBEAN SEED,,,2014,10,120110,XX,0.0,120110.0
SOYBEAN SEED,,,2014,10,120110,TX,63109.0,120110.0
SOYBEAN SEED,,,2014,10,120110,WA,0.0,120110.0
SOYBEAN SEED,,,2014,5,120110,IN,472235.0,120110.0
SOYBEAN SEED,,,2014,5,120110,-,4984038.0,120110.0
SOYBEAN SEED,,,2014,5,120110,CA,16339.0,120110.0
SOYBEAN SEED,,,2014,5,120110,FL,3360.0,120110.0
SOYBEAN SEED,,,2014,5,120110,IA,346337.0,120110.0
SOYBEAN SEED,,,2014,5,120110,IL,530339.0,120110.0
SOYBEAN SEED,,,2014,5,120110,ME,20937.0,120110.0
SOYBEAN SEED,,,2014,5,120110,MI,29867.0,120110.0
SOYBEAN SEED,,,2014,5,120110,MN,1183955.0,120110.0
SOYBEAN SEED,,,2014,5,120110,MO,352613.0,120110.0
SOYBEAN SEED,,,2014,5,120110,NC,325618.0,120110.0
SOYBEAN SEED,,,2014,5,120110,ND,1431534.0,120110.0
SOYBEAN SEED,,,2014,5,120110,NE,0.0,120110.0
SOYBEAN SEED,,,2014,5,120110,NY,0.0,120110.0
SOYBEAN SEED,,,2014,5,120110,TX,0.0,120110.0
SOYBEAN SEED,,,2014,5,120110,OH,141467.0,120110.0
SOYBEAN SEED,,,2014,5,120110,PA,120172.0,120110.0
SOYBEAN SEED,,,2014,5,120110,SD,0.0,120110.0
SOYBEAN SEED,,,2014,5,120110,XX,9265.0,120110.0
SOYBEAN SEED,,,2015,4,120110,ME,0.0,120110.0
SOYBEAN SEED,,,2015,4,120110,-,7328977.0,120110.0
SOYBEAN SEED,,,2015,4,120110,AL,0.0,120110.0
SOYBEAN SEED,,,2015,4,120110,CA,0.0,120110.0
SOYBEAN SEED,,,2015,4,120110,IA,560792.0,120110.0
SOYBEAN SEED,,,2015,4,120110,ID,10117.0,120110.0
SOYBEAN SEED,,,2015,4,120110,IL,129312.0,120110.0
SOYBEAN SEED,,,2015,4,120110,KY,0.0,120110.0
SOYBEAN SEED,,,2015,4,120110,MI,445786.0,120110.0
SOYBEAN SEED,,,2015,4,120110,MN,2230309.0,120110.0
SOYBEAN SEED,,,2015,4,120110,MO,79633.0,120110.0
SOYBEAN SEED,,,2015,4,120110,NC,182458.0,120110.0
SOYBEAN SEED,,,2015,4,120110,ND,1451358.0,120110.0
SOYBEAN SEED,,,2015,4,120110,NJ,4496.0,120110.0
SOYBEAN SEED,,,2015,4,120110,NY,154572.0,120110.0
SOYBEAN SEED,,,2015,4,120110,OH,1642938.0,120110.0
SOYBEAN SEED,,,2015,4,120110,PA,232487.0,120110.0
SOYBEAN SEED,,,2015,4,120110,TX,181637.0,120110.0
SOYBEAN SEED,,,2015,4,120110,VA,0.0,120110.0
SOYBEAN SEED,,,2015,4,120110,XX,23082.0,120110.0
SOYBEAN SEED,,,2013,1,120110,ND,191617.0,120110.0
SOYBEAN SEED,,,2013,1,120110,-,3075765.0,120110.0
SOYBEAN SEED,,,2013,1,120110,AZ,39586.0,120110.0
SOYBEAN SEED,,,2013,1,120110,IA,2111627.0,120110.0
SOYBEAN SEED,,,2013,1,120110,MN,244165.0,120110.0
SOYBEAN SEED,,,2013,1,120110,MO,238799.0,120110.0
SOYBEAN SEED,,,2013,1,120110,NY,19058.0,120110.0
SOYBEAN SEED,,,2013,1,120110,OH,2727.0,120110.0
SOYBEAN SEED,,,2013,1,120110,TX,217894.0,120110.0
SOYBEAN SEED,,,2013,1,120110,VT,10292.0,120110.0
SOYBEAN SEED,,,2013,8,120110,-,3207766.0,120110.0
SOYBEAN SEED,,,2013,8,120110,AZ,0.0,120110.0
SOYBEAN SEED,,,2013,8,120110,CA,4382.0,120110.0
SOYBEAN SEED,,,2013,8,120110,IA,34000.0,120110.0
SOYBEAN SEED,,,2013,8,120110,ID,0.0,120110.0
SOYBEAN SEED,,,2013,8,120110,IL,275388.0,120110.0
SOYBEAN SEED,,,2013,8,120110,IN,0.0,120110.0
SOYBEAN SEED,,,2013,8,120110,MD,0.0,120110.0
SOYBEAN SEED,,,2013,8,120110,MI,282862.0,120110.0
SOYBEAN SEED,,,2013,8,120110,MN,490061.0,120110.0
SOYBEAN SEED,,,2013,8,120110,MO,675683.0,120110.0
SOYBEAN SEED,,,2013,8,120110,NC,0.0,120110.0
SOYBEAN SEED,,,2013,8,120110,ND,0.0,120110.0
SOYBEAN SEED,,,2013,8,120110,NE,0.0,120110.0
SOYBEAN SEED,,,2013,8,120110,NY,0.0,120110.0
SOYBEAN SEED,,,2013,8,120110,OH,605718.0,120110.0
SOYBEAN SEED,,,2013,8,120110,SD,0.0,120110.0
SOYBEAN SEED,,,2013,8,120110,TX,839672.0,120110.0
SOYBEAN SEED,,,2013,8,120110,VT,0.0,120110.0
SOYBEAN SEED,,,2013,8,120110,WI,0.0,120110.0
SOYBEAN SEED,,,2013,8,120110,XX,0.0,120110.0
SOYBEAN SEED,,,2017,10,120110,FL,13800.0,120110.0
SOYBEAN SEED,,,2017,10,120110,-,4938968.0,120110.0
SOYBEAN SEED,,,2017,10,120110,AL,0.0,120110.0
SOYBEAN SEED,,,2017,10,120110,AR,62202.0,120110.0
SOYBEAN SEED,,,2017,10,120110,AZ,0.0,120110.0
SOYBEAN SEED,,,2017,10,120110,CA,437311.0,120110.0
SOYBEAN SEED,,,2017,10,120110,IA,3369253.0,120110.0
SOYBEAN SEED,,,2017,10,120110,IL,220096.0,120110.0
SOYBEAN SEED,,,2017,10,120110,KS,309014.0,120110.0
SOYBEAN SEED,,,2017,10,120110,MI,0.0,120110.0
SOYBEAN SEED,,,2017,10,120110,MN,0.0,120110.0
SOYBEAN SEED,,,2017,10,120110,NC,0.0,120110.0
SOYBEAN SEED,,,2017,10,120110,ND,0.0,120110.0
SOYBEAN SEED,,,2017,10,120110,NJ,0.0,120110.0
SOYBEAN SEED,,,2017,10,120110,NY,0.0,120110.0
SOYBEAN SEED,,,2017,10,120110,OH,0.0,120110.0
SOYBEAN SEED,,,2017,10,120110,PA,0.0,120110.0
SOYBEAN SEED,,,2017,10,120110,PR,0.0,120110.0
SOYBEAN SEED,,,2017,10,120110,SD,0.0,120110.0
SOYBEAN SEED,,,2017,10,120110,TX,337292.0,120110.0
SOYBEAN SEED,,,2017,10,120110,XX,0.0,120110.0
SOYBEAN SEED,,,2017,10,120110,VA,190000.0,120110.0
SOYBEAN SEED,,,2017,10,120110,WA,0.0,120110.0
SOYBEAN SEED,,,2017,10,120110,WI,0.0,120110.0
SOYBEAN SEED,,,2013,5,120110,IL,1023347.0,120110.0
SOYBEAN SEED,,,2013,5,120110,-,5527419.0,120110.0
SOYBEAN SEED,,,2013,5,120110,AZ,0.0,120110.0
SOYBEAN SEED,,,2013,5,120110,CA,0.0,120110.0
SOYBEAN SEED,,,2013,5,120110,IA,414180.0,120110.0
SOYBEAN SEED,,,2013,5,120110,ID,0.0,120110.0
SOYBEAN SEED,,,2013,5,120110,IN,16911.0,120110.0
SOYBEAN SEED,,,2013,5,120110,MI,512732.0,120110.0
SOYBEAN SEED,,,2013,5,120110,MN,610372.0,120110.0
SOYBEAN SEED,,,2013,5,120110,MO,224899.0,120110.0
SOYBEAN SEED,,,2013,5,120110,NC,0.0,120110.0
SOYBEAN SEED,,,2013,5,120110,ND,1485673.0,120110.0
SOYBEAN SEED,,,2013,5,120110,NE,24600.0,120110.0
SOYBEAN SEED,,,2013,5,120110,NY,52071.0,120110.0
