E_COMMODITY_LDESC,QTY_1_MO,UNIT_QY1,YEAR,MONTH,E_COMMODITY
SOYBEAN SEEDS OF A KIND USED FOR SOWING,3827144,KG,2020,02,1201100000
SOYBEAN SEEDS OF A KIND USED FOR SOWING,6450304,KG,2020,03,1201100000
SOYBEAN SEEDS OF A KIND USED FOR SOWING,6685405,KG,2020,04,1201100000
SOYBEAN SEEDS OF A KIND USED FOR SOWING,4581020,KG,2020,05,1201100000
SOYBEAN SEEDS OF A KIND USED FOR SOWING,2626203,KG,2020,06,1201100000
SOYBEAN SEEDS OF A KIND USED FOR SOWING,1586991,KG,2020,07,1201100000
SOYBEAN SEEDS OF A KIND USED FOR SOWING,3335845,KG,2020,08,1201100000
SOYBEAN SEEDS OF A KIND USED FOR SOWING,942063,KG,2020,09,1201100000
SOYBEAN SEEDS OF A KIND USED FOR SOWING,2624112,KG,2020,10,1201100000
SOYBEAN SEEDS OF A KIND USED FOR SOWING,37035711,KG,2020,11,1201100000
SOYBEAN SEEDS OF A KIND USED FOR SOWING,10219172,KG,2020,12,1201100000
SOYBEAN SEEDS OF A KIND USED FOR SOWING,2596381,KG,2021,01,1201100000
SOYBEAN SEEDS OF A KIND USED FOR SOWING,4419915,KG,2021,02,1201100000
SOYBEAN SEEDS OF A KIND USED FOR SOWING,6443425,KG,2021,03,1201100000
SOYBEAN SEEDS OF A KIND USED FOR SOWING,6943566,KG,2021,04,1201100000
SOYBEAN SEEDS OF A KIND USED FOR SOWING,8686392,KG,2021,05,1201100000
SOYBEAN SEEDS OF A KIND USED FOR SOWING,7658129,KG,2021,06,1201100000
SOYBEAN SEEDS OF A KIND USED FOR SOWING,7325067,KG,2021,07,1201100000
SOYBEAN SEEDS OF A KIND USED FOR SOWING,4561184,KG,2021,08,1201100000
SOYBEAN SEEDS OF A KIND USED FOR SOWING,3894698,KG,2021,09,1201100000
SOYBEAN SEEDS OF A KIND USED FOR SOWING,9785058,KG,2021,10,1201100000
SOYBEAN SEEDS OF A KIND USED FOR SOWING,19452898,KG,2021,11,1201100000
SOYBEAN SEEDS OF A KIND USED FOR SOWING,21153403,KG,2021,12,1201100000
SOYBEAN SEEDS OF A KIND USED FOR SOWING,14565469,KG,2022,01,1201100000
SOYBEAN SEEDS OF A KIND USED FOR SOWING,20590620,KG,2022,02,1201100000
SOYBEAN SEEDS OF A KIND USED FOR SOWING,20883051,KG,2022,03,1201100000
