STATE,ALL_VAL_YR,E_COMMODITY,E_COMMODITY_LDESC,YEAR,MONTH,E_COMMODITY
VA,2799814,120810,FLOURS AND MEALS OF SOYBEANS,2015,02,120810
VT,122091,120810,FLOURS AND MEALS OF SOYBEANS,2015,02,120810
WA,164415836,120810,FLOURS AND MEALS OF SOYBEANS,2015,02,120810
WI,2124811,120810,FLOURS AND MEALS OF SOYBEANS,2015,02,120810
XX,8122,120810,FLOURS AND MEALS OF SOYBEANS,2015,02,120810
-,1410384751,120810,FLOURS AND MEALS OF SOYBEANS,2013,12,120810
AL,633829,120810,FLOURS AND MEALS OF SOYBEANS,2013,12,120810
AR,145045,120810,FLOURS AND MEALS OF SOYBEANS,2013,12,120810
AZ,5000,120810,FLOURS AND MEALS OF SOYBEANS,2013,12,120810
CA,5552766,120810,FLOURS AND MEALS OF SOYBEANS,2013,12,120810
CO,72611,120810,FLOURS AND MEALS OF SOYBEANS,2013,12,120810
FL,395144,120810,FLOURS AND MEALS OF SOYBEANS,2013,12,120810
GA,2085168,120810,FLOURS AND MEALS OF SOYBEANS,2013,12,120810
IA,140279833,120810,FLOURS AND MEALS OF SOYBEANS,2013,12,120810
IL,127837041,120810,FLOURS AND MEALS OF SOYBEANS,2013,12,120810
IN,6771746,120810,FLOURS AND MEALS OF SOYBEANS,2013,12,120810
KS,110215073,120810,FLOURS AND MEALS OF SOYBEANS,2013,12,120810
KY,45716483,120810,FLOURS AND MEALS OF SOYBEANS,2013,12,120810
LA,85526124,120810,FLOURS AND MEALS OF SOYBEANS,2013,12,120810
MD,14562,120810,FLOURS AND MEALS OF SOYBEANS,2013,12,120810
MI,383539,120810,FLOURS AND MEALS OF SOYBEANS,2013,12,120810
MN,12340989,120810,FLOURS AND MEALS OF SOYBEANS,2013,12,120810
MO,188963951,120810,FLOURS AND MEALS OF SOYBEANS,2013,12,120810
MT,50031,120810,FLOURS AND MEALS OF SOYBEANS,2013,12,120810
NC,71280,120810,FLOURS AND MEALS OF SOYBEANS,2013,12,120810
NE,65540321,120810,FLOURS AND MEALS OF SOYBEANS,2013,12,120810
NJ,57931,120810,FLOURS AND MEALS OF SOYBEANS,2013,12,120810
NV,564918,120810,FLOURS AND MEALS OF SOYBEANS,2013,12,120810
NY,16348670,120810,FLOURS AND MEALS OF SOYBEANS,2013,12,120810
OH,10998276,120810,FLOURS AND MEALS OF SOYBEANS,2013,12,120810
OK,179872,120810,FLOURS AND MEALS OF SOYBEANS,2013,12,120810
OR,235895,120810,FLOURS AND MEALS OF SOYBEANS,2013,12,120810
SC,11200,120810,FLOURS AND MEALS OF SOYBEANS,2013,12,120810
SD,12051381,120810,FLOURS AND MEALS OF SOYBEANS,2013,12,120810
TN,116100,120810,FLOURS AND MEALS OF SOYBEANS,2013,12,120810
TX,5576788,120810,FLOURS AND MEALS OF SOYBEANS,2013,12,120810
VA,1683444,120810,FLOURS AND MEALS OF SOYBEANS,2013,12,120810
VT,117639,120810,FLOURS AND MEALS OF SOYBEANS,2013,12,120810
WA,566819054,120810,FLOURS AND MEALS OF SOYBEANS,2013,12,120810
WI,2933850,120810,FLOURS AND MEALS OF SOYBEANS,2013,12,120810
XX,89197,120810,FLOURS AND MEALS OF SOYBEANS,2013,12,120810
-,1067303290,120810,FLOURS AND MEALS OF SOYBEANS,2020,12,120810
AK,46054,120810,FLOURS AND MEALS OF SOYBEANS,2020,12,120810
AZ,37784,120810,FLOURS AND MEALS OF SOYBEANS,2020,12,120810
CA,2723750,120810,FLOURS AND MEALS OF SOYBEANS,2020,12,120810
FL,107360,120810,FLOURS AND MEALS OF SOYBEANS,2020,12,120810
GA,11239203,120810,FLOURS AND MEALS OF SOYBEANS,2020,12,120810
IA,8152564,120810,FLOURS AND MEALS OF SOYBEANS,2020,12,120810
IL,24302465,120810,FLOURS AND MEALS OF SOYBEANS,2020,12,120810
IN,5640841,120810,FLOURS AND MEALS OF SOYBEANS,2020,12,120810
KS,14431231,120810,FLOURS AND MEALS OF SOYBEANS,2020,12,120810
LA,87963874,120810,FLOURS AND MEALS OF SOYBEANS,2020,12,120810
MD,31208,120810,FLOURS AND MEALS OF SOYBEANS,2020,12,120810
MI,5945994,120810,FLOURS AND MEALS OF SOYBEANS,2020,12,120810
MN,9500523,120810,FLOURS AND MEALS OF SOYBEANS,2020,12,120810
MO,2927272,120810,FLOURS AND MEALS OF SOYBEANS,2020,12,120810
MS,68592,120810,FLOURS AND MEALS OF SOYBEANS,2020,12,120810
MT,1733467,120810,FLOURS AND MEALS OF SOYBEANS,2020,12,120810
NJ,13720,120810,FLOURS AND MEALS OF SOYBEANS,2020,12,120810
NV,34400,120810,FLOURS AND MEALS OF SOYBEANS,2020,12,120810
NY,1028885,120810,FLOURS AND MEALS OF SOYBEANS,2020,12,120810
OH,200153,120810,FLOURS AND MEALS OF SOYBEANS,2020,12,120810
OR,6593,120810,FLOURS AND MEALS OF SOYBEANS,2020,12,120810
PA,72337,120810,FLOURS AND MEALS OF SOYBEANS,2020,12,120810
SC,9889,120810,FLOURS AND MEALS OF SOYBEANS,2020,12,120810
SD,3381277,120810,FLOURS AND MEALS OF SOYBEANS,2020,12,120810
TX,1469779,120810,FLOURS AND MEALS OF SOYBEANS,2020,12,120810
WA,885477333,120810,FLOURS AND MEALS OF SOYBEANS,2020,12,120810
WI,668934,120810,FLOURS AND MEALS OF SOYBEANS,2020,12,120810
XX,87808,120810,FLOURS AND MEALS OF SOYBEANS,2020,12,120810
-,641412732,120810,FLOURS AND MEALS OF SOYBEANS,2018,07,120810
AL,6800,120810,FLOURS AND MEALS OF SOYBEANS,2018,07,120810
CA,1876581,120810,FLOURS AND MEALS OF SOYBEANS,2018,07,120810
FL,71351,120810,FLOURS AND MEALS OF SOYBEANS,2018,07,120810
GA,9798828,120810,FLOURS AND MEALS OF SOYBEANS,2018,07,120810
IA,3623156,120810,FLOURS AND MEALS OF SOYBEANS,2018,07,120810
IL,65829002,120810,FLOURS AND MEALS OF SOYBEANS,2018,07,120810
IN,8484352,120810,FLOURS AND MEALS OF SOYBEANS,2018,07,120810
KS,13273037,120810,FLOURS AND MEALS OF SOYBEANS,2018,07,120810
KY,5732419,120810,FLOURS AND MEALS OF SOYBEANS,2018,07,120810
LA,50549965,120810,FLOURS AND MEALS OF SOYBEANS,2018,07,120810
MD,274200,120810,FLOURS AND MEALS OF SOYBEANS,2018,07,120810
MI,1079809,120810,FLOURS AND MEALS OF SOYBEANS,2018,07,120810
MN,28280077,120810,FLOURS AND MEALS OF SOYBEANS,2018,07,120810
MO,8850139,120810,FLOURS AND MEALS OF SOYBEANS,2018,07,120810
ND,49363,120810,FLOURS AND MEALS OF SOYBEANS,2018,07,120810
NE,54837,120810,FLOURS AND MEALS OF SOYBEANS,2018,07,120810
NJ,19332,120810,FLOURS AND MEALS OF SOYBEANS,2018,07,120810
NV,645849,120810,FLOURS AND MEALS OF SOYBEANS,2018,07,120810
NY,269489,120810,FLOURS AND MEALS OF SOYBEANS,2018,07,120810
OH,4018671,120810,FLOURS AND MEALS OF SOYBEANS,2018,07,120810
PA,61909,120810,FLOURS AND MEALS OF SOYBEANS,2018,07,120810
SC,45000,120810,FLOURS AND MEALS OF SOYBEANS,2018,07,120810
SD,3696167,120810,FLOURS AND MEALS OF SOYBEANS,2018,07,120810
VA,11810954,120810,FLOURS AND MEALS OF SOYBEANS,2018,07,120810
WA,413903650,120810,FLOURS AND MEALS OF SOYBEANS,2018,07,120810
WI,9033945,120810,FLOURS AND MEALS OF SOYBEANS,2018,07,120810
XX,73850,120810,FLOURS AND MEALS OF SOYBEANS,2018,07,120810
-,570711520,120810,FLOURS AND MEALS OF SOYBEANS,2021,05,120810
AK,24745,120810,FLOURS AND MEALS OF SOYBEANS,2021,05,120810
CA,2514868,120810,FLOURS AND MEALS OF SOYBEANS,2021,05,120810
FL,11625,120810,FLOURS AND MEALS OF SOYBEANS,2021,05,120810
GA,203850,120810,FLOURS AND MEALS OF SOYBEANS,2021,05,120810
IA,2492347,120810,FLOURS AND MEALS OF SOYBEANS,2021,05,120810
IL,4643464,120810,FLOURS AND MEALS OF SOYBEANS,2021,05,120810
IN,1862818,120810,FLOURS AND MEALS OF SOYBEANS,2021,05,120810
KS,3058632,120810,FLOURS AND MEALS OF SOYBEANS,2021,05,120810
LA,24585422,120810,FLOURS AND MEALS OF SOYBEANS,2021,05,120810
MD,5385,120810,FLOURS AND MEALS OF SOYBEANS,2021,05,120810
MI,2496445,120810,FLOURS AND MEALS OF SOYBEANS,2021,05,120810
MN,9217885,120810,FLOURS AND MEALS OF SOYBEANS,2021,05,120810
MO,86602,120810,FLOURS AND MEALS OF SOYBEANS,2021,05,120810
MT,640801,120810,FLOURS AND MEALS OF SOYBEANS,2021,05,120810
NJ,2901,120810,FLOURS AND MEALS OF SOYBEANS,2021,05,120810
NY,210368,120810,FLOURS AND MEALS OF SOYBEANS,2021,05,120810
OR,132977,120810,FLOURS AND MEALS OF SOYBEANS,2021,05,120810
SD,2151848,120810,FLOURS AND MEALS OF SOYBEANS,2021,05,120810
TX,3174900,120810,FLOURS AND MEALS OF SOYBEANS,2021,05,120810
WA,512852432,120810,FLOURS AND MEALS OF SOYBEANS,2021,05,120810
WI,320261,120810,FLOURS AND MEALS OF SOYBEANS,2021,05,120810
XX,20944,120810,FLOURS AND MEALS OF SOYBEANS,2021,05,120810
-,176619964,120810,FLOURS AND MEALS OF SOYBEANS,2016,02,120810
CA,597028,120810,FLOURS AND MEALS OF SOYBEANS,2016,02,120810
CO,7075,120810,FLOURS AND MEALS OF SOYBEANS,2016,02,120810
FL,130871,120810,FLOURS AND MEALS OF SOYBEANS,2016,02,120810
GA,7707756,120810,FLOURS AND MEALS OF SOYBEANS,2016,02,120810
IA,12217749,120810,FLOURS AND MEALS OF SOYBEANS,2016,02,120810
IL,15258037,120810,FLOURS AND MEALS OF SOYBEANS,2016,02,120810
IN,498000,120810,FLOURS AND MEALS OF SOYBEANS,2016,02,120810
KS,3086021,120810,FLOURS AND MEALS OF SOYBEANS,2016,02,120810
KY,4389298,120810,FLOURS AND MEALS OF SOYBEANS,2016,02,120810
LA,1230049,120810,FLOURS AND MEALS OF SOYBEANS,2016,02,120810
MI,225081,120810,FLOURS AND MEALS OF SOYBEANS,2016,02,120810
MN,7290680,120810,FLOURS AND MEALS OF SOYBEANS,2016,02,120810
MO,60403,120810,FLOURS AND MEALS OF SOYBEANS,2016,02,120810
NC,109750,120810,FLOURS AND MEALS OF SOYBEANS,2016,02,120810
NE,157557,120810,FLOURS AND MEALS OF SOYBEANS,2016,02,120810
NJ,16946,120810,FLOURS AND MEALS OF SOYBEANS,2016,02,120810
NV,118749,120810,FLOURS AND MEALS OF SOYBEANS,2016,02,120810
NY,1427354,120810,FLOURS AND MEALS OF SOYBEANS,2016,02,120810
OH,864100,120810,FLOURS AND MEALS OF SOYBEANS,2016,02,120810
PR,17250,120810,FLOURS AND MEALS OF SOYBEANS,2016,02,120810
SC,4234903,120810,FLOURS AND MEALS OF SOYBEANS,2016,02,120810
SD,1945674,120810,FLOURS AND MEALS OF SOYBEANS,2016,02,120810
VA,6583895,120810,FLOURS AND MEALS OF SOYBEANS,2016,02,120810
VT,30510,120810,FLOURS AND MEALS OF SOYBEANS,2016,02,120810
WA,107762540,120810,FLOURS AND MEALS OF SOYBEANS,2016,02,120810
WI,638728,120810,FLOURS AND MEALS OF SOYBEANS,2016,02,120810
XX,13960,120810,FLOURS AND MEALS OF SOYBEANS,2016,02,120810
-,1095083776,120810,FLOURS AND MEALS OF SOYBEANS,2014,11,120810
AL,7587082,120810,FLOURS AND MEALS OF SOYBEANS,2014,11,120810
AR,51128,120810,FLOURS AND MEALS OF SOYBEANS,2014,11,120810
CA,3277724,120810,FLOURS AND MEALS OF SOYBEANS,2014,11,120810
CO,400349,120810,FLOURS AND MEALS OF SOYBEANS,2014,11,120810
FL,113248,120810,FLOURS AND MEALS OF SOYBEANS,2014,11,120810
GA,30827857,120810,FLOURS AND MEALS OF SOYBEANS,2014,11,120810
IA,86262066,120810,FLOURS AND MEALS OF SOYBEANS,2014,11,120810
IL,97691309,120810,FLOURS AND MEALS OF SOYBEANS,2014,11,120810
IN,4160000,120810,FLOURS AND MEALS OF SOYBEANS,2014,11,120810
KS,47323195,120810,FLOURS AND MEALS OF SOYBEANS,2014,11,120810
KY,5957584,120810,FLOURS AND MEALS OF SOYBEANS,2014,11,120810
LA,143924791,120810,FLOURS AND MEALS OF SOYBEANS,2014,11,120810
ME,423122,120810,FLOURS AND MEALS OF SOYBEANS,2014,11,120810
MI,3799691,120810,FLOURS AND MEALS OF SOYBEANS,2014,11,120810
MN,43530742,120810,FLOURS AND MEALS OF SOYBEANS,2014,11,120810
MO,36831057,120810,FLOURS AND MEALS OF SOYBEANS,2014,11,120810
MS,2600,120810,FLOURS AND MEALS OF SOYBEANS,2014,11,120810
ND,1289709,120810,FLOURS AND MEALS OF SOYBEANS,2014,11,120810
NE,25987286,120810,FLOURS AND MEALS OF SOYBEANS,2014,11,120810
NJ,8691,120810,FLOURS AND MEALS OF SOYBEANS,2014,11,120810
NV,670618,120810,FLOURS AND MEALS OF SOYBEANS,2014,11,120810
NY,14079809,120810,FLOURS AND MEALS OF SOYBEANS,2014,11,120810
OH,231695,120810,FLOURS AND MEALS OF SOYBEANS,2014,11,120810
OR,1924450,120810,FLOURS AND MEALS OF SOYBEANS,2014,11,120810
SC,1582695,120810,FLOURS AND MEALS OF SOYBEANS,2014,11,120810
SD,9753723,120810,FLOURS AND MEALS OF SOYBEANS,2014,11,120810
TX,414004,120810,FLOURS AND MEALS OF SOYBEANS,2014,11,120810
UT,6177,120810,FLOURS AND MEALS OF SOYBEANS,2014,11,120810
